round,dist_full_reduced,dist_bias_delta,dist_random_subset,threshold
63,0.32261133193969727,0.001913202926516533,0.007933303713798523,0.0107253645041437
64,0.16035401821136475,0.0012754499912261963,0.010046511888504028,0.010618110859102263
65,0.18033361434936523,0.0015546102076768875,0.007890194654464722,0.01051192975051124
66,0.14332497119903564,0.001748107373714447,0.003016166388988495,0.010406810453006128
67,0.1774357557296753,0.003031417727470398,0.007836252450942993,0.010302742348476066
68,0.24476152658462524,0.0014435909688472748,0.014515817165374756,0.010199714924991306
69,0.12884724140167236,0.002051630988717079,0.010422714054584503,0.010097717775741392
70,0.1236271858215332,0.0016191918402910233,0.006451629102230072,0.01
71,0.3106992244720459,0.0008947215974330902,0.014904096722602844,0.01
72,0.20440369844436646,0.001933543011546135,0.012627199292182922,0.01
73,0.18928766250610352,0.002538692206144333,0.0065229907631874084,0.01
74,0.28623127937316895,0.004016747698187828,0.005863964557647705,0.01
75,0.2830931544303894,0.002014555037021637,0.006667837500572205,0.01
76,0.241765558719635,0.0015516802668571472,0.005360029637813568,0.01
77,0.3921537399291992,0.0010773595422506332,0.009008072316646576,0.01
78,0.43331003189086914,0.002736007794737816,0.004480697214603424,0.01
79,0.3816075325012207,0.0029855985194444656,0.004784829914569855,0.01
80,0.1672813892364502,0.0025260448455810547,0.006312966346740723,0.01
81,0.209733784198761,0.0016678422689437866,0.01219266653060913,0.01
82,0.20451760292053223,0.0024929437786340714,0.008066028356552124,0.01
83,0.08169412612915039,0.0012055262923240662,0.006182476878166199,0.01
84,0.10164535045623779,0.0036223847419023514,0.002941407263278961,0.01
85,0.3078380227088928,0.005608243867754936,0.009326227009296417,0.01
86,0.2571907043457031,0.0035909507423639297,0.006865538656711578,0.01
87,0.43247678875923157,0.002348804846405983,0.01320577785372734,0.01
88,0.4116426408290863,0.00174788199365139,0.006534397602081299,0.01
89,0.14344096183776855,0.0037766993045806885,0.004705779254436493,0.01
90,0.24035108089447021,0.004537131637334824,0.011302635073661804,0.01
91,0.4776372015476227,0.0044629815965890884,0.010156325995922089,0.01
92,0.34848809242248535,0.0043990518897771835,0.007199212908744812,0.01
93,0.28916341066360474,0.001894557848572731,0.0035515204071998596,0.01
94,0.1590327024459839,0.0016914289444684982,0.0054771751165390015,0.01
95,0.07756471633911133,0.005424913018941879,0.004358991980552673,0.01
96,0.3500725030899048,0.0012848228216171265,0.012561559677124023,0.01
97,0.1977260708808899,0.003854449838399887,0.004265643656253815,0.01
98,0.10331237316131592,0.0022057853639125824,0.006748750805854797,0.01
99,0.44597572088241577,0.005310963839292526,0.017785534262657166,0.01
100,0.38313090801239014,0.004253797233104706,0.013172358274459839,0.01
101,0.2117546796798706,0.0021790601313114166,0.006677091121673584,0.01
102,0.19420981407165527,0.0020252522081136703,0.0066774338483810425,0.01
103,0.2174106240272522,0.005280332639813423,0.009573876857757568,0.01
104,0.18458473682403564,0.005171613767743111,0.009740248322486877,0.01
105,0.3743249177932739,0.0017888396978378296,0.013939835131168365,0.01
106,0.33902084827423096,0.0023276489228010178,0.010283827781677246,0.01
107,0.2970951795578003,0.0034660696983337402,0.012871041893959045,0.01
108,0.4723472595214844,0.004003884270787239,0.008320234715938568,0.01
109,0.17291486263275146,0.004481475800275803,0.004431568086147308,0.01
110,0.3675442636013031,0.006493257358670235,0.0058322474360466,0.01
111,0.4644978642463684,0.002495545893907547,0.01393311470746994,0.01
112,0.5003775954246521,0.0022517256438732147,0.01704474911093712,0.01
113,0.3462744951248169,0.015478327870368958,0.012914583086967468,0.01
114,0.44562792778015137,0.017618602141737938,0.01719573885202408,0.01
115,0.169930100440979,0.0021586809307336807,0.005624599754810333,0.01
116,0.117534339427948,0.0018626004457473755,0.011358566582202911,0.01
117,0.10896408557891846,0.002382718026638031,0.011527977883815765,0.01
118,0.26589375734329224,0.002716533839702606,0.009942173957824707,0.01
119,0.264119952917099,0.004082435742020607,0.014422327280044556,0.01
120,0.3606901168823242,0.0022022072225809097,0.0071165673434734344,0.01
121,3.0648350715637207,0.16568662226200104,0.15218192338943481,0.01
122,2.82012939453125,0.08166898041963577,0.13655878603458405,0.01
123,0.38553333282470703,0.013931527733802795,0.007498875260353088,0.01
124,0.5036792755126953,0.04582405090332031,0.019525840878486633,0.01
125,2.471515655517578,0.07080203294754028,0.11446337401866913,0.01
126,2.54465651512146,0.07800653576850891,0.11872982978820801,0.01
127,0.4642024040222168,0.04933984577655792,0.01915283501148224,0.01
128,2.1519124507904053,0.06741531193256378,0.10238447785377502,0.01
